;nakoplenia_ludei.xls;rashodi_na_med.xls;chislo_ubistv.xls;inflazia.xls;nalogi.xls;procent_tryd_naselenia.xls;trati_na_obraz.xls;rogdaemost.xls;voennie_trati.xls;bezrabotiza.xls;vvp_pps_na_dyshy.xls;patenti.csv;Happiness.Score
Belgium;25.154907439730888;10.78312588;;2.12597086002609;57.1;55.104997475402726;6.42534017562866;10.5;0.883680594960214;2.66666007041931;50442.270541962374;1001.0;6.89099979400635
Belize;22.398460995551545;5.79241371;37.7885702880713;1.14765339305809;31.1;53.73303956443427;7.45028018951416;21.129;1.25536491469368;;8873.754025193604;;5.95599985122681
Benin;17.3991546117987;2.61910868;1.1274974068;1.76941247391975;48.9;85.60874972190967;3.53558993339539;38.678;0.920613124425981;;2933.837384317201;;3.65700006484985
Bhutan;29.606643304662917;3.3407371;1.74364875939391;4.9550836698513;35.3;46.421005340800384;7.39539813995361;14.912;;;10986.88813592971;;5.01100015640259
Bolivia;16.05702891679548;6.4901948;6.40587346228884;2.8227580554717;83.7;59.49967829567703;8.65999984741211;22.986;1.53642735273655;;8244.933444557479;59.0;5.82299995422363
Bosnia and Herzegovina;15.493322524464858;8.93797779;1.25315750936735;0.810133321953047;23.7;45.16964459036317;;9.02;0.864182657718917;0.200479999184608;13400.041107481678;87.0;5.18200016021729
Botswana;30.692465527746876;6.13453388;;3.30828076768219;25.1;59.1012367268801;7.29974985122681;25.672;3.00587880312343;;14656.772988720955;3.0;3.76600003242493
Brazil;13.577770043572926;9.47124863;30.6918279543765;3.44637335032672;65.1;43.2170324672364;6.32047986984253;14.159;1.41448561149999;1.11749994754791;14477.86176806001;5480.0;6.63500022888184
Bulgaria;25.117977699788735;7.5206337;1.450203394546;2.06159619443137;27.1;54.58049737018942;4.07527017593384;9.0;1.226243678323;0.739950001239777;21469.97088931161;202.0;4.71400022506714
Burkina Faso;14.770212639365358;6.02940798;1.25044051977478;1.48299897161327;41.3;91.51407753440563;5.62846994400024;37.898;1.55627317925717;0.613610029220581;1978.1550116137641;;4.03200006484985
Burundi;7.567849237128366;7.90301847;;16.0525353030392;41.5;100.32346344538041;4.76202011108398;38.124;1.8706521577989002;;750.787616270977;3.0;2.90499997138977
Cambodia;24.226588582835184;5.72757244;;2.9126355737148;21.7;53.854728785762006;2.3161518573761;21.348;2.0713835009839103;;3972.724163927945;;4.16800022125244
Cameroon;16.291706095515206;3.49216461;1.38809341502324;0.64267352185089;57.7;84.70461337862385;3.05962991714478;37.403;1.17379348253472;;3691.0947236525194;;4.69500017166138
Canada;19.845280989291982;10.83538342;1.81585088635439;1.5968841285297;20.9;49.14805562303123;4.95996999740601;10.3;1.35160223192956;1.68579995632172;48317.17458351508;4053.0;7.31599998474121
Central African Republic;;6.6654377;;4.18072331871272;73.3;103.86432058907889;1.75364995002747;41.602;1.43596760684367;;839.6000094521353;;2.69300007820129
Chad;;4.55722904;;-1.53709962980847;63.5;101.01748729673238;2.45481991767883;44.811;2.23858924746686;;1579.760600476314;;3.93600010871887
Chile;19.841777299832838;9.06854153;4.21755091312143;2.18271846868523;33.0;44.990158533801505;5.41966009140015;12.13;1.9359010748435002;0.355930000543594;24546.912420860357;425.0;6.65199995040894
China;44.90504686225782;5.06592178;0.562271460841508;1.59313600071434;66.5;41.544891677893226;3.66744995117188;12.64;1.7464550701787402;2.11602997779846;14243.532610847444;1245709.0;5.27299976348877
Colombia;17.102008350610742;7.67864275;25.0195032312923;4.31431325695007;72.3;44.9916155162832;4.53551006317139;15.081;3.20906243683398;0.261090010404587;14334.914608362222;595.0;6.35699987411499
Congo (Brazzaville);;;;;;;;;;;;;4.29099988937378
Congo (Kinshasa);;;;;;;;;;;;;4.28000020980835
Costa Rica;14.2515632435224;7.04522943;12.1819289266266;1.62590692991729;58.3;45.22339781739252;7.06980991363525;13.926;;0.425870001316071;20168.220480899698;19.0;7.0789999961853
Croatia;25.090365962799183;6.75844765;1.09972944264995;1.12937210282344;20.6;52.59795588031263;3.85475993156433;8.9;1.6435933945658399;0.848919987678528;27206.965412563808;148.0;5.29300022125244
Cyprus;15.749681917793723;6.59893894;0.59337874093508;0.5317664961745;22.7;41.548370321438114;5.71853017807007;10.994;1.58311130576663;0.544390022754669;38415.109375;8.0;5.62099981307983
Czech Republic;;;;;;;;;;;;;6.60900020599365
Denmark;30.061553689247138;10.03963375;1.23860029792698;1.14713216957606;23.8;56.07750026058129;7.75243997573853;10.6;1.1382332544704599;2.93124008178711;55356.680780178;1490.0;7.52199983596802
Dominican Republic;22.00715020838787;5.83058023;11.5665096658829;3.27955694678546;48.8;53.428980596081054;3.92026996612549;19.993;0.6660634439633;;16524.53384205867;20.0;5.23000001907349
Ecuador;25.705660411413056;7.42857885;5.77884675189493;0.417335588666803;32.5;53.99096377902881;4.61426019668579;17.996;2.36126338358467;;11679.430234276857;16.0;6.00799989700317
Egypt;;;;;;;;;;;;;4.7350001335144
El Salvador;15.031546595002318;7.21280336;62.0213383459682;1.01235403315573;35.5;53.66330797229739;3.7252299785614;16.974;1.04446941634216;0.180779993534088;8617.921708245289;4.0;6.00299978256226
Estonia;28.74268643569885;6.59183788;2.19798709857366;3.41723549488057;48.5;55.63036189783126;4.96131992340088;10.5;2.00773352126725;1.27684998512268;33821.93290847004;37.0;5.61100006103516
Ethiopia;30.59002278517283;3.45336151;;10.6871150284238;37.7;80.37209968838046;5.64951992034912;33.059;0.685077814004737;0.274370014667511;1987.9687536713802;14.0;4.46000003814697
Finland;23.20276997888953;9.12670135;1.21566825828487;0.754015047084413;38.4;59.601614150561524;6.36311006546021;9.1;1.3534986035683099;2.72786998748779;47570.13358384801;1390.0;7.4689998626709
France;22.752944566294044;11.33276176;1.25380705093894;1.03228275064674;62.6;60.99057070632637;5.45160007476807;11.5;1.90864201234437;2.1988799571991;44577.06457453943;14415.0;6.44199991226196
Gabon;;2.78068829;;2.65192583143898;46.8;68.14089419972188;3.3268098831176802;29.713;1.81048953464601;;14478.13030501875;;4.46500015258789
Georgia;19.24601832696904;7.05804443;2.27004958935801;6.03531725272117;16.4;52.21791637251375;3.57442998886108;14.856;1.9697429690312602;0.270229995250702;13589.707391515927;75.0;4.28599977493286
Germany;28.882978869839242;11.32935143;0.983565991452848;1.50949655801608;48.9;53.14417926693488;4.87182998657227;9.5;1.15404940702975;3.04710006713867;53071.455569991325;47785.0;6.95100021362305
Ghana;16.887897270536286;3.35796332;2.09124101727853;12.3719215507048;33.2;71.32439319735472;3.53362989425659;28.978;0.401629020725549;;4929.567954051214;15.0;4.11999988555908
Greece;9.67380753948961;8.10309219;0.813665877946901;1.12125452031427;51.7;55.74054631736106;3.47708988189697;8.2;2.56348990681236;1.15227997303009;28604.860940265713;498.0;5.22700023651123
Guatemala;14.784277340163342;6.13921785;32.1312843486238;4.42453655182543;35.2;65.67605184875849;2.95009994506836;24.791;0.40256093624611805;0.0295499991625547;8322.216809915039;3.0;6.4539999961853
Guinea;11.423416021309794;3.91060591;;8.91452597036354;61.4;86.2284282192735;2.3203399181366;36.625;1.7681225057443601;;2383.578867342241;;3.50699996948242
Haiti;16.15773160565034;4.78747177;;10.6800887242583;42.8;60.65857109011959;1.50423002243042;24.98;0.08810297312429;;3187.7897613677783;;3.6029999256134
Honduras;23.15891667144116;6.98996687;40.9798859181064;3.93436084442035;40.5;57.69870452982917;4.93701982498169;22.16;1.7244051778048102;0.0399399995803833;5447.698791590624;4.0;5.18100023269653
Hong Kong S.A.R., China;;;;;;;;;;;;;5.47200012207031
Hungary;24.71268090628836;6.75595856;1.64442884977752;2.34824281150159;46.4;50.00752492266648;4.61409997940063;9.7;1.0266576233584501;1.31679999828339;29501.12042047057;496.0;5.32399988174438
Iceland;22.389269331207508;8.30908108;0.8971426008164;1.76041559180606;29.9;50.53018713260597;7.58385992050171;11.9;;2.08412003517151;55638.49205917962;36.0;7.50400018692017
India;31.706754302817274;2.93597651;3.06399577877492;3.32817337461301;56.2;50.68482817579111;4.30544996261597;17.911;2.53146258766694;0.666029989719391;6112.066649861717;14961.0;4.31500005722046
